date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:12:00	66750/66750	---M--	200	added ('OK')	image/jpeg	etag:%22e4e5a4315b8ed21:0%22	https://www.swyfft.com/images/HeroFAQ.jpg	C:/HTTRACKSites/swiftt/www.swyfft.com/images/HeroFAQ.jpg	(from https://www.swyfft.com/app/dist/commonStyle.bundle.css?cb=FA6857FD4A50CE993327DC3D2204ADFA)
09:12:01	78021/78021	---M--	200	added ('OK')	image/jpeg	etag:%229f35a3315b8ed21:0%22	https://www.swyfft.com/images/HeroClaims.jpg	C:/HTTRACKSites/swiftt/www.swyfft.com/images/HeroClaims.jpg	(from https://www.swyfft.com/app/dist/commonStyle.bundle.css?cb=FA6857FD4A50CE993327DC3D2204ADFA)
09:12:02	46839/46839	---M--	200	added ('OK')	image/jpeg	etag:%22ca86a1315b8ed21:0%22	https://www.swyfft.com/images/HeroAgentLogin.jpg	C:/HTTRACKSites/swiftt/www.swyfft.com/images/HeroAgentLogin.jpg	(from https://www.swyfft.com/app/dist/commonStyle.bundle.css?cb=FA6857FD4A50CE993327DC3D2204ADFA)
09:12:05	520530/520530	---M--	200	added ('OK')	image/png	etag:%22f1dea8315b8ed21:0%22	https://www.swyfft.com/images/HeroSqFt.png	C:/HTTRACKSites/swiftt/www.swyfft.com/images/HeroSqFt.png	(from https://www.swyfft.com/app/dist/commonStyle.bundle.css?cb=FA6857FD4A50CE993327DC3D2204ADFA)
09:12:05	108470/108470	---M--	200	added ('OK')	image/jpeg	etag:%2229aa7315b8ed21:0%22	https://www.swyfft.com/images/HeroPayment.jpg	C:/HTTRACKSites/swiftt/www.swyfft.com/images/HeroPayment.jpg	(from https://www.swyfft.com/app/dist/commonStyle.bundle.css?cb=FA6857FD4A50CE993327DC3D2204ADFA)
09:12:06	18650/18650	---M--	200	added ('OK')	image/jpeg	etag:%2281fac9315b8ed21:0%22	https://www.swyfft.com/images/quote-map-hero-image.jpg	C:/HTTRACKSites/swiftt/www.swyfft.com/images/quote-map-hero-image.jpg	(from https://www.swyfft.com/app/dist/commonStyle.bundle.css?cb=FA6857FD4A50CE993327DC3D2204ADFA)
09:12:08	59927/59927	---M--	200	added ('OK')	image/jpeg	etag:%22d271a2315b8ed21:0%22	https://www.swyfft.com/images/HeroAgentMap.jpg	C:/HTTRACKSites/swiftt/www.swyfft.com/images/HeroAgentMap.jpg	(from https://www.swyfft.com/app/dist/commonStyle.bundle.css?cb=FA6857FD4A50CE993327DC3D2204ADFA)
09:12:09	98240/98240	---M--	200	added ('OK')	image/jpeg	etag:%22339fa0315b8ed21:0%22	https://www.swyfft.com/images/HeroAgent.jpg	C:/HTTRACKSites/swiftt/www.swyfft.com/images/HeroAgent.jpg	(from https://www.swyfft.com/app/dist/commonStyle.bundle.css?cb=FA6857FD4A50CE993327DC3D2204ADFA)
09:12:11	1820/1820	---M--	200	added ('OK')	image/png	etag:%22447b9e315b8ed21:0%22	https://www.swyfft.com/images/GreenPin.png	C:/HTTRACKSites/swiftt/www.swyfft.com/images/GreenPin.png	(from https://www.swyfft.com/app/dist/commonStyle.bundle.css?cb=FA6857FD4A50CE993327DC3D2204ADFA)
09:12:12	251269/251269	---M--	200	added ('OK')	image/jpeg	etag:%2250f2a9315b8ed21:0%22	https://www.swyfft.com/images/HeroThankYou.jpg	C:/HTTRACKSites/swiftt/www.swyfft.com/images/HeroThankYou.jpg	(from https://www.swyfft.com/app/dist/commonStyle.bundle.css?cb=FA6857FD4A50CE993327DC3D2204ADFA)
09:12:13	8968/8968	---M--	200	added ('OK')	image/png	etag:%221142aa315b8ed21:0%22	https://www.swyfft.com/images/HouseIcon2.png	C:/HTTRACKSites/swiftt/www.swyfft.com/images/HouseIcon2.png	(from https://www.swyfft.com/app/dist/commonStyle.bundle.css?cb=FA6857FD4A50CE993327DC3D2204ADFA)
09:12:14	4131/4131	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Sep%202018%2008:12:14%20GMT	https://www.swyfft.com/images/ui-bg_flat_0_aaaaaa_40x100.png	C:/HTTRACKSites/swiftt/www.swyfft.com/images/ui-bg_flat_0_aaaaaa_40x100.4d.delayed	(from https://www.swyfft.com/app/dist/commonStyle.bundle.css?cb=FA6857FD4A50CE993327DC3D2204ADFA)
09:12:16	3020/3020	---M--	200	added ('OK')	image/png	etag:%22394ab3315b8ed21:0%22	https://www.swyfft.com/images/dropdown_arrow.png	C:/HTTRACKSites/swiftt/www.swyfft.com/images/dropdown_arrow.png	(from https://www.swyfft.com/app/dist/commonStyle.bundle.css?cb=FA6857FD4A50CE993327DC3D2204ADFA)
09:12:18	1677/1677	---M--	200	added ('OK')	image/png	etag:%22d3b1c5315b8ed21:0%22	https://www.swyfft.com/images/previous.png	C:/HTTRACKSites/swiftt/www.swyfft.com/images/previous.png	(from https://www.swyfft.com/app/dist/commonStyle.bundle.css?cb=FA6857FD4A50CE993327DC3D2204ADFA)
09:12:19	1673/1673	---M--	200	added ('OK')	image/png	etag:%22c3c6c4315b8ed21:0%22	https://www.swyfft.com/images/next.png	C:/HTTRACKSites/swiftt/www.swyfft.com/images/next.png	(from https://www.swyfft.com/app/dist/commonStyle.bundle.css?cb=FA6857FD4A50CE993327DC3D2204ADFA)
09:12:21	18623/18623	---M--	200	added ('OK')	image/gif	etag:%221569c1315b8ed21:0%22	https://www.swyfft.com/images/loading.gif	C:/HTTRACKSites/swiftt/www.swyfft.com/images/loading.gif	(from https://www.swyfft.com/app/dist/commonStyle.bundle.css?cb=FA6857FD4A50CE993327DC3D2204ADFA)
09:12:21	96/96	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2019%20Sep%202018%2008:12:21%20GMT	http://js.hs-scripts.com/4524135.js	C:/HTTRACKSites/swiftt/js.hs-scripts.com/4524135.js	(from https://www.swyfft.com/)
09:12:24	135851/135851	---M-Z	200	added ('OK')	text/css	etag:%22937c1041d04ed41:0%22	https://www.swyfft.com/app/dist/quote.bundle.css?cb=28424E8F692EE3438A8E0D4E3D4F4009	C:/HTTRACKSites/swiftt/www.swyfft.com/app/dist/quote.bundlee6f8.css	(from https://www.swyfft.com/quote)
09:12:44	1084/1084	---M--	200	added ('OK')	image/svg+xml	etag:%222139b42fa710d31:0%22	https://www.swyfft.com/images/shield-logo-45x50-white.svg	C:/HTTRACKSites/swiftt/www.swyfft.com/images/shield-logo-45x50-white.svg	(from https://www.swyfft.com/quote)
09:12:46	1314/1314	---M--	200	added ('OK')	image/svg+xml	etag:%2241c0b52fa710d31:0%22	https://www.swyfft.com/images/warning_preview.svg	C:/HTTRACKSites/swiftt/www.swyfft.com/images/warning_preview.svg	(from https://www.swyfft.com/quote)
09:12:47	418/418	---M--	200	added ('OK')	image/png	etag:%224caacc315b8ed21:0%22	https://www.swyfft.com/images/search-icon.png	C:/HTTRACKSites/swiftt/www.swyfft.com/images/search-icon.png	(from https://www.swyfft.com/quote)
09:12:49	2779/2779	---M--	200	added ('OK')	image/jpeg	etag:%2212dab315b8ed21:0%22	https://www.swyfft.com/Images/Swyfft_Shield_Black-print.jpg	C:/HTTRACKSites/swiftt/www.swyfft.com/Images/Swyfft_Shield_Black-print.jpg	(from https://www.swyfft.com/quote)
09:12:51	42/42	---M--	200	added ('OK')	image/gif	etag:%225d7aab315b8ed21:0%22	https://www.swyfft.com/Images/Transparent.gif	C:/HTTRACKSites/swiftt/www.swyfft.com/Images/Transparent.gif	(from https://www.swyfft.com/quote)
09:12:53	91019/91019	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bde0f41d04ed41:0%22	https://www.swyfft.com/app/dist/quote.bundle.js?cb=EF45A4C2526F7D71CA75524643D62BF3	C:/HTTRACKSites/swiftt/www.swyfft.com/app/dist/quote.bundle45ee.js	(from https://www.swyfft.com/quote)
09:12:55	20029/20029	---M-Z	200	added ('OK')	text/css	etag:%22937c1041d04ed41:0%22	https://www.swyfft.com/app/dist/login.bundle.css?cb=061A808AE4A8D96F01BA2E5706C8AF24	C:/HTTRACKSites/swiftt/www.swyfft.com/app/dist/login.bundle4333.css	(from https://www.swyfft.com/Login?returnUrl=%2Fhistory)
09:12:56	16626/16626	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bde0f41d04ed41:0%22	https://www.swyfft.com/app/dist/login.bundle.js?cb=52C8C563FF743898480D835266D2F382	C:/HTTRACKSites/swiftt/www.swyfft.com/app/dist/login.bundle9287.js	(from https://www.swyfft.com/Login?returnUrl=%2Fhistory)
